0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NFKBIZ,TNNT3,SERPINE2,IFI44L,PAG1,A2M,TMEM184B,SRPX2,RGS2,LAMB2,NCOA7,BAZ2B,NCOA7,ABLIM1,NRP1,SLC1A4
GPRIN3,CDH15,DGKI,FAT3,DUSP2,CDKN1C,CCDC80,VIT,AMD1,C3,TMEM184B,NR2F2,TMEM184B,ASAH1,EDNRA,A2M
OGFRL1,RALGAPA2,MFAP5,TPM1,USP9Y,AC105383.1,FAT4,COL4A4,PREX1,CD82,CCDC80,FGD4,CCDC80,TGFBI,GMFG,ARHGEF7
DOCK4,ANGPT2,ACTA2,SIPA1L2,SLA,NUF2,HPGDS,THBS4,STK4,TLE5,HPGDS,RASGRP3,FAT4,WWP2,C3,PGM2L1
SFMBT2,SNTB1,LTBP3,KMT2E,STK10,UACA,CCDC102B,VCAM1,ITPR2,HAS2,ID4,ATP8B1,HPGDS,TBCD,LAMB2,ARHGEF2
SLC7A7,AC105383.1,THY1,UGCG,PITPNC1,MAP2K3,CDH15,MS4A6A,LST1,MS4A6A,CCDC102B,XAF1,CCDC102B,COL27A1,GPR34,PDGFRB
TRPM2,FBLN2,LAMA4,IGFBP3,PREX1,HAS2,RALGAPA2,HPD,CD300A,ROBO1,CDH15,EBF3,CDH15,MAST4,NCOA7,ADIRF
RGS2,GRB10,CFI,ACTA2,BTG1,ASPM,ANGPT2,LAMA2,HLA-DQB1,VIT,RALGAPA2,ENG,RALGAPA2,AFDN,TMEM184B,SLF1
CYTH1,ECE1,LAMA2,MFAP5,PTPN22,COL18A1,TPD52,PLEKHH2,GPR183,VEGFC,ANGPT2,PDE10A,ANGPT2,ADAMTS6,MATN4,NRN1
RNASET2,DGKI,CRISPLD2,HK2,CLEC2D,NDRG1,SNTB1,SOD2,IL1B,POSTN,SVEP1,CALCRL,SNTB1,LAMA4,CCDC80,THBS2
ZNF710,FAT1,SRPX2,CNKSR3,CREM,KIF18B,AC105383.1,CHD3,PKIB,CDKN1C,TNC,PITPNC1,AC105383.1,NID1,SNORC,NRP1
PRDM1,ABLIM1,PTPRK,SLC1A4,PBXIP1,FTH1,COL9A1,CDKN1C,AKAP13,ADAMTS9,SNTB1,EXOC6,FBLN2,PTPRG,FAT4,EDNRA
ARRB2,ASAH1,FAT1,NDNF,EMB,GRN,FBLN2,NFKBIZ,ALOX5,C21orf58,AC105383.1,DOCK4,GRB10,ROBO1,HPGDS,GMFG
ARHGAP4,TBCD,SNED1,IFI44,RIPOR2,COL6A3,GRB10,UACA,DUSP5,FN1,FBLN2,ADAMTS9,ECE1,TGFBR2,CCDC102B,GPR34
SKAP2,MATN2,MMP13,ARHGEF7,CLEC2B,UNC5B,ECE1,STEAP4,SKAP2,MAP2K3,GRB10,PLEKHG1,DGKI,COL11A1,CDH15,NCOA7
SNX10,STAC2,CDKN1C,PGM2L1,PIP4K2A,INSR,DGKI,MAP2K3,PHACTR1,ARHGAP11A,MAOB,PDK4,FAT1,PLK2,RALGAPA2,TMEM184B
LTC4S,MAST4,TFDP2,PDGFRB,OXNAD1,IVNS1ABP,FAT1,COL18A1,IFI30,SASH1,ECE1,FGD5,ABLIM1,ARL15,ANGPT2,CCDC80
REL,AFDN,JAG1,ADIRF,RCSD1,GREM2,ABLIM1,FTH1,TRIB1,NR4A1,DGKI,ARHGAP18,ASAH1,COL5A3,SNTB1,FAT4
USP15,ADAMTS6,IGFBP3,SLF1,SLC38A1,ARHGAP11A,ASAH1,GRN,UCP2,FTH1,ABLIM1,USP9Y,TBCD,PTPRM,HPGD,CCDC102B
FNBP1,LAMA4,LAMC1,THBS2,FYN,CFI,TBCD,UNC5B,HLA-DMB,GRN,ASAH1,HDAC7,MAST4,EXTL1,AC105383.1,CDH15
C2,WWP2,CHD3,NRP1,STK17A,CTHRC1,C1QTNF3,INSR,GLIPR2,UNC5B,TBCD,ELMO1,AFDN,CRISPLD2,FBLN2,RALGAPA2
LAIR1,NID1,HPGD,EDNRA,KMT2E,IL17B,STAC2,IVNS1ABP,UBC,INSR,MAST4,ABLIM3,ADAMTS6,PSMB9,GRB10,ANGPT2
CREM,DOCK10,DMD,GMFG,CCND3,ARHGEF28,MAST4,CFI,C9orf72,IVNS1ABP,AFDN,FLI1,LAMA4,CTSC,C1S,SNTB1
ID2,PTPRG,TPM2,GPR34,CD44,SRPX2,AFDN,COL16A1,AREG,CFI,ADAMTS6,KMT2E,TGFBI,FMOD,ECE1,AC105383.1
MEF2A,ROBO1,SNORC,NCOA7,CNOT6L,TPM1,ADAMTS6,IL17B,FOSB,COL16A1,LAMA4,ELK3,NID1,ADAMTS4,DGKI,FBLN2
FCGBP,TGFBR2,MATN4,SCD,KAT2B,STAC2,LAMA4,GRIK1,EFHD2,IL17B,ZNF804B,JARID2,PTPRG,TGFB1,CLU,GRB10
RCSD1,PLK2,FOXP1,TMEM184B,USP15,HSP90AA1,MMP13,CLSTN3,HCLS1,KIF2C,TGFBI,ZDHHC21,ROBO1,LRRC1,FAT1,BTG2
